slug,removed_synopsis_short,reason
back-from-hell-to-take-my-bow,Jake Hobbs lead.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
billionaire-ceo-s-obsession,Nick Ritacco's first vertical.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
campus-rivals,Eric Taylor Guilmette lead and producer.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
daddy-s-best-friend-made-me-his-billionaire-wife,Alex Pychtin lead.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
fated-deal-with-the-mafia-king,Jake Hobbs lead.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
fated-to-my-fiance-s-alpha-daddy,Nick Ritacco credit.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
love-blood,Vampire series produced/created by Eric Taylor Guilmette; also features Mark Pontarelli.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
love-under-fire,Independent vertical production by Kasey Esser.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
makeup-sex,Anina Net #1 ranking title.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
my-two-faced-billionaire-husband,Anina Net #1 ranking title.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
pregnant-by-the-billionaire,Alex Pychtin lead.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
pregnant-with-my-infertile-alpha-king,Anina Net #1 ranking title.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
summer-skies,Grace Swanson credit.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
surrender-to-my-dangerous-boss,Nick Ritacco lead.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
the-heiress-blacklisted-her-husband,Alex Pychtin lead.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
the-return-of-my-drama-queen,Jake Hobbs lead.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
the-unwanted-mate,Eric Taylor Guilmette lead.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
why-my-contract-ex-husband-keeps-chasing-me,Jake Hobbs contract-marriage romance.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
the-bad-boy-who-ruined-me,Evan Adams lead vertical.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
dear-stranger-i-love-you,Evan Adams romance on the Shorts app.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
wild-ride-with-the-dangerous-kian,Evan Adams as Kian Wilder.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
mated-to-the-alpha,Evan Adams werewolf vertical.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
things-i-wanted-to-say,Based on the novel by Monica Murphy.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
carter-reed,Inspired by the novel by Tijan.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
the-billionaire-s-fake-wife,When an explosion destroys Dr.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
bound-by-duty,Announced for release on 13 August 2026. A Cora Reilly adaptation.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
foul-play-with-my-brother-s-best-friend,Shortical premiere (May 2026) starring Evan Adams and Bella Mraz.,"internal research note shipped as the public story (audit, 24 Sep 2026)"
